article_title,source_title,abstract,journal_abbreviation,publication_date,publication_year,doi,wo_s_categories,ids_number,ut_unique_wos_id
"Accessing habitat suitability and connectivity for the westernmost population of Asian black bear (Ursus thibetanus gedrosianus, Blanford, 1877) based on climate changes scenarios in Iran",PLOS ONE,"Climate change, as an emerging phenomenon, has led to changes in the distribution, movement, and even risk of extinction of various wildlife species and this has raised concerns among conservation biologists. Different species have two options in the face of climate change, either to adopt or follow their climatic niche to new places through the connectivity of habitats. The modeling of interpatch landscape communications can serve as an effective decision support tool for wildlife managers. This study was conducted to assess the effects of climate change on the distribution and habitat connectivity of the endangered subspecies of Asian black bear (Ursus thibetanus gedrosianus) in the southern and southeastern Iran. The presence points of the species were collected in Provinces of Kerman, Hormozgan, and Sistan-Baluchestan. Habitat modeling was done by the Generalized Linear Model, and 3 machine learning models including Maximum Entropy, Back Propagation based artificial Neural Network, and Support Vector Machine. In order to achieve the ensemble model, the results of the mentioned models were merged based on the method of accuracy rate as weight derived from their validation. To construct pseudo-absence points for the use in the mentioned models, the Ensemble model of presence-only models was used. The modeling was performed using 15 habitat variables related to climatic, vegetation, topographic, and anthropogenic parameters. The three general circulation models of BCC-CSM1, CCSM4, and MRI-CGCM3 were selected under the two scenarios of RCP2.6 and RCP8.5 by 2070. To investigate the effect of climate change on the habitat connections, the protected areas of 3 provinces were considered as focal nodes and the connections between them were established based on electrical circuit theory and Pairwise method. The true skill statistic was employed to convert the continuous suitability layers to binary suitable/unsuitable range maps to assess the effectiveness of the protected areas in the coverage of suitable habitats for the species. Due to the high power of the stochastic forest model in determining the importance of variables, this method was used. The results showed that presence/absence models were successful in the implementation and well distinguished the points of presence and pseudo-absence from each other. Based on the random forests model, the variables of Precipitation of Driest Quarter, Precipitation of Coldest Quarter, and Temperature Annual Range have the greatest impact on the habitat suitability. Comparing the modeling findings to the realities of the species distribution range indicated that the suitable habitats are located in areas with high humidity and rainfall, which are mostly in the northern areas of Bandar Abbas, south of Kerman, and west and south of Sistan-Baluchestan. The area of suitable habitats, in the MRI-CGCM3 (189731 Km(2)) and CCSM4 (179007 Km(2)) models under the RCP2.6 scenario, is larger than the current distribution (174001 Km(2)). However, in terms of the performance of protected areas, the optimal coverage of the species by the boundary of the protected areas, under each of the RCP2.6 and RCP8.5 scenarios, is less than the present time. According to the electric circuit theory, connecting the populations in the protected areas of Sistan-Baluchestan province to those in the northern Hormozgan and the southern Kerman would be based on the crossing through the heights of Sistan-Baluchestan and Hormozgan provinces and the plains between these heights would be the movement pinch points under the current and future scenarios. Populations in the protected areas of Kerman have higher quality patch connections than that of the other two provinces. The areas such as Sang-e_Mes, Kouh_Shir, Zaryab, and Bahr_Aseman in Kerman Province and Kouhbaz and Geno in Hormozgan Province can provide suitable habitats for the species in the distribution models. The findings revealed that the conservation of the heights along with the caves inside them could be a protective priority to counteract the effects of climate change on the species.",PLOS ONE,NOV 18,2020,10.1371/journal.pone.0242432,Multidisciplinary Sciences,OZ9VG,WOS:000595265900048
"Improved climate, culture, and communication through multidisciplinary training and instruction",AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,"OBJECTIVE: The objective of the study was to determine the effectiveness of multidisciplinary team training on organizational culture and team communication. STUDY DESIGN: The training included a 6-step protocol: (1) a pretest survey assessing cultural attitudes and perceptions, (2) a baseline high-fidelity simulation session, (3) invitational medical rhetoric instruction, (4) a second high-fidelity simulation session, (5) a posttest survey assessing changed cultural attitudes and perceptions, and (6) a debriefing with participants. Teams of 4 physicians trained together: 2 obstetricians and 2 anesthesiologists. Forty-four physicians completed the training protocol during 2010 and 2011. RESULTS: Paired-sample t tests demonstrated significant decreases in autonomous cultural attitudes and perceptions (t = 8.23, P < .001) and significant increases in teamwork cultural attitudes and perceptions (t = -4.05, P < .001). Paired-sample t tests also demonstrated significant increases in communication climate that invited participation and integrated information from both medical services (t = -5.80, P < .001). CONCLUSION: The multidisciplinary team training program specified in this report resulted in increased teamwork among obstetricians and anesthesiologists.",AM J OBSTET GYNECOL,SEP,2012,10.1016/j.ajog.2012.06.036,Obstetrics & Gynecology,003BL,WOS:000308583100026
Climate Change Communication: A Friendly for Users App,ADDRESSING THE CHALLENGES IN COMMUNICATING CLIMATE CHANGE ACROSS VARIOUS AUDIENCES,"Living in the era of technology and information, mobile devices, such as mobile phones, laptops, personal digital assistants (PDAs), tablet PCs, are becoming gradually popular and connected with people's daily lives. The conjunction of the intensification of online technologies and rising public awareness of the changing climate provides numerous opportunities and challenges for climate-change communication. This research concerns the establishment of an environmentally oriented application for mobile phones, focused on climate change, with the intention of raising the knowledge and altering the attitude and behavior towards this crucial environmental issue, based on internet support. The significance of the environmental problem at stake, classifies it as one that mandates immediate awareness. This paper contributes to Climate Change Communication by explaining the use of technological tools, as applications, that are youth friendly and fast, increasing quite effectively environmental awareness.",CLIM CHANG MANAG,NA,2019,10.1007/978-3-319-98294-6_17,Communication; Environmental Studies,BT0II,WOS:000788001200018
A Novel Infrared Dim Small Target Detection Algorithm based on Frequency Domain Saliency,"PROCEEDINGS OF 2016 IEEE ADVANCED INFORMATION MANAGEMENT, COMMUNICATES, ELECTRONIC AND AUTOMATION CONTROL CONFERENCE (IMCEC 2016)","Infrared small target detection technology has great significance in the infrared guidance, infrared warming, video surveillance and other fields. From the perspective of human visual saliency, our paper proposes a novel infrared dim small target detection algorithm based on frequency domain saliency. First, we get saliency map in the frequency domain. The algorithm combines the amplitude spectrum filtered by Gaussian low-pass filter with an appropriate scale and the phase spectrum, and then obtain saliency map by inverse Fourier transform. Secondly, we get saliency regions by segmenting the saliency map, and then use the gray centroid method to locate saliency regions. Finally, the small target is identified by local contrast algorithm. Experimental results show that our algorithm proposed higher detection accuracy for infrared images with different background, and can also suppress global repetitive clutter. Moreover, the robustness of our algorithm for noise is stronger.",NA,NA,2016,NA,"Automation & Control Systems; Engineering, Electrical & Electronic; Telecommunications",BI1CB,WOS:000405512400212
Syngas production by CO2 reforming of ethanol over Ni/Al2O3 catalyst,CATALYSIS COMMUNICATIONS,"CO2 is a greenhouse gas that contributes to global warming, while ethanol is a bio-fuel that derived from biomass. Therefore, CO2 reforming of ethanol can be a green route for syngas production. The experimental results show that CO2 reforming of ethanol is feasible and can efficiently and selectively produce syngas with CO/H-2 ratio of I under optimized reaction conditions. (C) 2009 Elsevier B.V. All rights reserved.",CATAL COMMUN,JUL 25,2009,10.1016/j.catcom.2009.04.030,"Chemistry, Physical",477ED,WOS:000268500500002
"National, regional and local attitudes towards climate change: identifying appropriate target audiences for communications",LOCAL ENVIRONMENT,"A government-funded scheme, the UK Climate Change Communications Initiative (UKCCCI), has provided money for organisations to deliver projects that attempt to impact positively on people's attitudes towards climate change. This devolution of communications is a relatively novel approach after previous centralised campaigns. This paper considers what size of target audience is most appropriate for attitude change initiatives. It compares data from a regional UKCCCI project aimed at residents of two counties with a nationally representative dataset. Regional data are also analysed to see if there are differences in attitudes within the two-counties target audience. The study suggests that attitude change interventions must strike a balance between personalisation of information and the higher cost of targeting smaller groups with more specific material.",LOCAL ENVIRON,NA,2008,10.1080/13549830802260126,Green & Sustainable Science & Technology; Environmental Studies; Geography; Regional & Urban Planning; Urban Studies,V78EO,WOS:000212030900003
Open-Source Application for Water Supply System Management: Implementation in a Water Transmission System in Southern Spain,WATER,"Sustainable water use has become a critical issue for the future of the planet in face of highly probable climate change. The drinking water supply sector has made significant progress over the last 20 years, although improvements in the management of urban hydraulic infrastructures are still required. The proposed system, Integrated Tool for Water Supply Systems Management (ITWSM), built on three interconnected modules (QGIS database, Epanet hydraulic model, and Google My Maps app), was developed on open-source software. The core of ITWSM allows analyzing the behavior of water supply systems under several operation/failure scenarios. It facilitates decision making supported by the mobile application ITWSM-app. Information flows easily through the different decision levels involved in the management process, keeping updated the georeferenced database after system changes. ITWSM has been implemented in a real public water supply company and applied to manage breakdown repairs in water transmission systems. The use of the proposed methodology reduces the average cost of failure repair by 13.6%, mainly due to the optimal planning of the resources involved.",WATER-SUI,DEC,2021,10.3390/w13243652,Environmental Sciences; Water Resources,XY9XX,WOS:000737318900001
"Evaluation of an E-Learning Training Program to Support Implementation of a Group-Based, Theory-Driven, Self-Management Intervention For Osteoarthritis and Low-Back Pain: Pre-Post Study",JOURNAL OF MEDICAL INTERNET RESEARCH,"Background:By adaptation of the face-to-face physiotherapist-training program previously used in the Self-management of Osteoarthritis and Low back pain through Activity and Skills (SOLAS) feasibility trial, an asynchronous, interactive, Web-based, e-learning training program (E-SOLAS) underpinned by behavior and learning theories was developed. Objective: This study investigated the effect of the E-SOLAS training program on relevant outcomes of effective training and implementation. Methods: Thirteen physiotherapists from across Ireland were trained via E-SOLAS by using mixed methods, and seven physiotherapists progressed to implementation of the 6-week group-based SOLAS intervention. The effectiveness of E-SOLAS was evaluated using the Kirkpatrick model at the levels of reaction (physiotherapist engagement and satisfaction with E-SOLAS training methods and content), learning (pre- to posttraining changes in physiotherapists' confidence and knowledge in delivering SOLAS content and self-determination theory-based communication strategies, administered via a SurveyMonkey questionnaire), and behavior (fidelity to delivery of SOLAS content using physiotherapist-completed weekly checklists). During implementation, five physiotherapists audio recorded delivery of one class, and the communication between physiotherapists and clients was assessed using the Health Care Climate Questionnaire (HCCQ), the Controlling Coach Behaviour Scale (CCBS), and an intervention-specific measure (ISM; 7-point Likert scale). A range of implementation outcomes were evaluated during training and delivery (ie, acceptability, appropriateness, feasibility, fidelity, and sustainability of E-SOLAS) using a posttraining feedback questionnaire and individual semistructured telephone interviews. Results: With regard to their reaction, physiotherapists (n=13) were very satisfied with E-SOLAS posttraining (median 5.0; interquartile range 1.0; min-max 4.0-5.0) and completed training within 3-4 weeks. With regard to learning, there were significant increases in physiotherapists' confidence and knowledge in delivery of all SOLAS intervention components (P<.05). Physiotherapists' confidence in 7 of 10 self-determination theory-based communication strategies increased (P<.05), whereas physiotherapists' knowledge of self-determination theory-based strategies remained high posttraining (P>.05). In terms of behavior, physiotherapists delivered SOLAS in a needs supportive manner (HCCQ: median 5.2, interquartile range 1.3, min-max 3.7-5.8; CCBS: median 6.6, interquartile range 1.0, min-max 5.6-7.0; ISM: median 4.5, interquartile range 1.2, min-max 2.8-4.8). Fidelity scores were high for SOLAS content delivery (total %mean fidelity score 93.5%; SD 4.9%). The posttraining questionnaire and postdelivery qualitative interviews showed that physiotherapists found E-SOLAS acceptable, appropriate, feasible, and sustainable within primary care services to support the implementation of the SOLAS intervention. Conclusions: This study provides preliminary evidence of the effectiveness, acceptability, and feasibility of an e-learning program to train physiotherapists to deliver a group-based self-management complex intervention in primary care settings, which is equivalent to face-to-face training outcomes and would support inclusion of physiotherapists in a definitive trial of SOLAS.",J MED INTERNET RES,MAR 7,2019,10.2196/11123,Health Care Sciences & Services; Medical Informatics,HO9JC,WOS:000461279000001
Univariate Time Series Forecasting of Indian Agriculture Emissions,"ADVANCES IN COMPUTING AND DATA SCIENCES (ICACDS 2022), PT II","The first ever increased contribution to the GHG from human activities was due to emissions from agriculture. Because of the large area covered under agriculture and comprehensive practices, the agriculture sector has a significant impact on the earth's GHG. Therefore, agriculture emissions being one of the main emissions and GHG being the cause of climate change, it is necessary to determine the pattern of emission and forecast of the future. The aim of this paper is to determine the emission pattern from manure management, agriculture soils, enteric fermentation and rice cultivation, also forecasting the emissions. The study object was India. Different univariate time series models were built and best model was selected on the basis of evaluation criteria for forecasting. The performed modelling was based on the FAOS TAT data of India.",COMM COM INF SC,NA,2022,10.1007/978-3-031-12641-3_28,"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Theory & Methods",BU2ZP,WOS:000889373500028
Coordinated Efficient Buoys Data Collection in Large Complex Coastal Environments using UAVs,OCEANS 2017 - ANCHORAGE,"Deploying a large number of sensing buoys is a powerful tool for oceanographic, marine biology and climate change research. In this work we address the problem of efficient data collection by a team of Unmanned Aerial Vehicles (UAV) from low-power, small buoys with previously unknown locations in complex coastal or remote oceanic regions with aerial restrictions. To tackle this problem we propose and develop a 3-layers architecture that search for the buoys, enables communication with them and creates a UAV communication network to recover the data. Extensive simulations show that the proposed work both optimizes the searching area coverage path planning for complex regions and the quality-of-service for the data transmission from the buoys to the final destination using UAVs as relay nodes.",OCEANS-IEEE,NA,2017,NA,"Engineering, Marine; Engineering, Electrical & Electronic; Oceanography",BL7GR,WOS:000455012000119
A hidden curriculum for environmental topics in medical education: Impact on environmental knowledge and awareness of the students,GMS JOURNAL FOR MEDICAL EDUCATION,"Objective: Climate change constitutes a major challenge. The higher education sector plays an important role in regard to climate change and the adaptation to its consequences. Various approaches toward the integration of environmental subject areas to higher education teaching have already been described in other studies, but there is a lack of data supporting the effectiveness of these approaches in changing not only the environmental knowledge of students, but also their awareness. To address this, the present study tracked whether student attitudes about the environment could be changed by implicitly addressing medically relevant environmental topics as part of an online seminar. Methods: Second semester students of molecular medicine attending a mandatory 14-hour online seminar, which was required to obtain additive key qualifications and which consisted of independent study phases as well as online class meetings, were divided into two groups: the intervention group (IG, n=27, thereof 20 in the pretest and 21 in the posttest) was exposed to medically relevant environmental topics, while the comparison group (CG, n=26, thereof 22 in the pretest and 21 in the posttest) was exposed to general, non-environmental medical topics. Surveys were conducted with standardized questionnaires before and after the seminar in order to study the influence on the students' environmental knowledge, awareness and other personal attitudes. Results: While the seminar did not significantly change the environmental awareness in either group, the environmental knowledge of the IG was significantly increased by the group's exposure to environmental topics. In addition, the IG assessed its own environmental awareness regarding sustainable working methods in a laboratory as significantly higher after the seminar than the CG did, and some students of the IG had become more interested in issues relating to sustainability. Conclusion: The approach used to communicate environmental content mainly increased the environmental knowledge of students and piqued the interest of some students in climate-related and environmental topics. However, it was not possible to change deeper personal attitudes about environmental awareness, especially everyday behavior.",GMS J MED EDU,NA,2023,NA,"Education, Scientific Disciplines",H5KF7,WOS:000996342700010
"Climate Change, Bushfire Risk, and Environmental Values: Examining a Potential Risk Perception Threshold in Peri-Urban South Australia",SOCIETY & NATURAL RESOURCES,"Striking a balance between the management of environmental risks and values is a challenge for decision-makers. If people perceive that environmental risks are increasing they may be willing to discount local values to manage those risks, so the identification of thresholds in risk perception in relation to specific behaviors could help to avoid policy failures. The complex relationships between perceptions of climate change and bushfire risks, environmental values and support for actions to mitigate local risks are presented for peri-urban regions in South Australia. The results of a household survey (N=988) suggest that a threshold of risk perception in relation to climate change and bushfire management has not been exceeded and people are broadly supportive of balanced management interventions. A minority of people still do not perceive that climate change is increasing bushfire risk, and are supportive of risk mitigation interventions even at the expense of local biodiversity. However, a larger group believe that climate change is a driver of bushfire risk, yet are still more likely to prioritize ecological values and are unwilling to discount those values for risk mitigation. Targeted communication could assist different groups to respond to gaps in knowledge and action to facilitate effective, differentiated interventions within forested landscapes on the margins of urban areas.",SOC NATUR RESOUR,NA,2018,10.1080/08941920.2017.1421733,Development Studies; Environmental Studies; Regional & Urban Planning; Sociology,FX1HQ,WOS:000425800500003
The impact of information and communication technology on carbon emissions in China: spatial effect and mechanism discussion,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"Information and communication technology (ICT) has exerted a great impact on the socio-economic development; however, this development has come with some potential influence on climate change. The academics are divided over this issue; some argue that ICT has contributed to carbon reduction, while others consider that ICT has increased carbon dioxide (CO2) emissions. Undoubtedly, the existing literature abounds in the relationship between ICT and CO2 emissions, but little attention has been paid to the spillover effect of ICT and CO2 emissions, especially in developing countries. Hence, with the panel data of 285 China's prefecture-level cities from 2004 to 2018, this study innovatively discusses the spatial and mechanism effects of ICT on CO2 emissions, further exploring the heterogeneous impact of ICT on CO2 emissions from multiple perspectives. The empirical results confirm the positive relationship between ICT and CO2 emissions and identify the spatial spillover effect in the relationship. Furthermore, notably, the intermediary effect of energy consumption on the impact of ICT on CO2 emissions is identified. Finally, due to the differences in the geographical position, population size, and urban agglomeration of prefecture-level cities in China, the impact of ICT on CO2 emissions varies in different cities. The findings not only contribute to advancing the existing literature but also have a significant and targeted policy guiding significance for the cities to maximize the favorable influences of ICT and promote the low-carbon transformation of the whole society.",ENVIRON SCI POLLUT R,FEB,2023,10.1007/s11356-022-23201-7,Environmental Sciences,F7SF8,WOS:000862233200008
Coproducing Sea Ice Predictions with Stakeholders Using Simulation,WEATHER CLIMATE AND SOCIETY,"Forecasts of sea ice evolution in the Arctic region for several months ahead can be of considerable socioeconomic value for a diverse range of marine sectors and for local community supply logistics. However, subseasonal-to-seasonal (S2S) forecasts represent a significant technical challenge, and translating user needs into scientifically manageable procedures and robust user confidence requires collaboration among a range of stakeholders. We developed and tested a novel, transdisciplinary coproduction approach that combined socioeconomic scenarios and participatory, research-driven simulation gaming to test a new S2S sea ice forecast system with experienced mariners in the cruise tourism sector. Our custom-developed computerized simulation game known as ICEWISE integrated sea ice parameters, forecast technology, and human factors as a participatory environment for stakeholder engagement. We explored the value of applications-relevant S2S sea ice prediction and linked uncertainty information. Results suggest that the usefulness of S2S services is currently most evident in schedule-dependent sectors but is expected to increase as a result of anticipated changes in the physical environment and continued growth in Arctic operations. Reliable communication of uncertainty information in sea ice forecasts must be demonstrated and trialed before users gain confidence in emerging services and technologies. Mariners' own intuition, experience, and familiarity with forecast service provider reputation impact the extent to which sea ice information may reduce uncertainties and risks for Arctic mariners. Our insights into the performance of the combined foresight/simulation coproduction model in brokering knowledge across a range of domains demonstrates promise. We conclude with an overview of the potential contributions from S2S sea ice predictions and from experiential coproduction models to the development of decision-driven and science-informed climate services.",WEATHER CLIM SOC,APR,2022,10.1175/WCAS-D-21-0048.1,Environmental Studies; Meteorology & Atmospheric Sciences,2I3UA,WOS:000814906100004
Realization of Green 5G Cellular Network Role in Medical Applications: Use of ChatGPT-AI,ANNALS OF BIOMEDICAL ENGINEERING,"Wireless communication in medical applications improves patient monitoring, care coordination, early disease detection, and patient empowerment. It improves healthcare and patient outcomes. The design and configuration of a solar-powered emergency battery backup system for 5G telecommunication base stations, including medical applications, may vary depending on local climate, power requirements, and resources. In this connection, uninterrupted power supply to the base stations become crucial. The author utilizes the ChatGPT-AI features and prepared this comprehensive letter for realizing the role of sustainable practices towards climatic changes.",ANN BIOMED ENG,2023 JUN 1,2023,10.1007/s10439-023-03257-3,"Engineering, Biomedical",I1HH5,WOS:001000350800002
BASIEC: A Coastal Climate Service Framework for Community-Based Adaptation to Rising Sea-Levels,HANDBOOK OF CLIMATE SERVICES,"Climate change induced sea-level rise poses serious threats to coastal regions across the world and the communities in the low-lying coastal regions are at high risk. Building capacities of coastal communities to adapt to sea-level rise are increasingly high priorities for low-lying coastal regions. Climate services are believed to be a powerful mechanism to build capacities of communities, particularly at the local level. It focuses on the connection between climate science and public demand for information and services. In this context, this chapter emphasizes the importance of community-based climate services that build the capacities of local communities to prepare, manage and adapt to rising sea-levels. This study has put forth three research questions such as (1) what services do the coastal communities require; (2) how these services need to be delivered; (3) what are all the roles of climate services that can help in building capacities of coastal communities and involve them in the community-based adaptation decision-making process? This study has adopted the methodology following the recommendations and guidelines of the UNFCCC, the Global Framework for Climate Services (GFCS) and Fifth Assessment Report of IPCC, on climate information and services. As a result, this study has introduced BASIEC (Building capacities for Adaptation to Sea-level rise through Information, Education and Communication for coastal communities), a coastal climate service framework for community-based adaptation to rising sea-levels. The framework emerges from theoretical and empirical knowledge of community-based climate services and offers a holistic approach for integrating information, communication and education through the lens of climate change and sea-level rise. Thus, it provides a systematic starting point and guidance for local level coastal climate policy planners, decision-makers, researchers, local communities and others who hold a stake on coastal climate services for community-based adaptation to changing climate in general and sea-level rise in particular.",CLIM CHANG MANAG,NA,2020,10.1007/978-3-030-36875-3_2,Environmental Sciences; Environmental Studies; Public Administration,BR8WF,WOS:000674456500003
Enhanced light absorption by mixed source black and brown carbon particles in UK winter,NATURE COMMUNICATIONS,"Black carbon (BC) and light-absorbing organic carbon (brown carbon, BrC) play key roles in warming the atmosphere, but the magnitude of their effects remains highly uncertain. Theoretical modelling and laboratory experiments demonstrate that coatings on BC can enhance BC's light absorption, therefore many climate models simply assume enhanced BC absorption by a factor of similar to 1.5. However, recent field observations show negligible absorption enhancement, implying models may overestimate BC's warming. Here we report direct evidence of substantial field-measured BC absorption enhancement, with the magnitude strongly depending on BC coating amount. Increases in BC coating result from a combination of changing sources and photochemical aging processes. When the influence of BrC is accounted for, observationally constrained model calculations of the BC absorption enhancement can be reconciled with the observations. We conclude that the influence of coatings on BC absorption should be treated as a source and regionally specific parameter in climate models.",NAT COMMUN,SEP,2015,10.1038/ncomms9435,Multidisciplinary Sciences,CT9MQ,WOS:000363141700001
Conservation decision makers worry about relevancy and funding but not climate change,WILDLIFE SOCIETY BULLETIN,"Stakeholders fundamentally shape the success of wildlife management, yet little is known about how one of the most important stakeholder groups, wildlife agency decision makers, view emerging conservation challenges. Wildlife agency decision makers collectively shape how wildlife conservation unfolds in North America, but their perspectives are generally absent in the literature. Challenges including climate change, conservation funding models, and wildlife disease make understanding how wildlife decision makers view the future of wildlife conservation essential. We interviewed 48 directors and supervisory board members of wildlife agencies in the southeast United States from July 2019 to January 2020 to gauge their assessment of future conservation challenges and preferred response strategies. Declining agency relevancy and insufficient funding were the 2 most commonly identified challenges, while climate change was rarely mentioned as an issue because decision makers believed it was a relatively slow-moving background condition. Decision makers described improving relevance through education and outreach as their primary response to conservation challenges. Our results suggest that climate change-informed wildlife management may benefit from a 2-pronged approach. First, we suggest decision makers should be informed about the challenges posed by climate change, and second, existing efforts to promote diversity among constituents should include engaging groups who support tackling the threat climate change poses to wildlife conservation. Increasing the priority given to climate change adaptation efforts in wildlife agencies will likely require future research to discern which approaches can most improve the perceived salience of climate change to decision makers.",WILDLIFE SOC B,2023 JAN 31,2023,10.1002/wsb.1424,Biodiversity Conservation,8J4QA,WOS:000922401200001
"Leadership, governance and management in dental education - new societal challenges",EUROPEAN JOURNAL OF DENTAL EDUCATION,"Dental schools around the world face new challenges that raise issues with regard to how they are governed, led and managed. With rapid societal changes, including globalization and consumerism, the roles of universities and their funding have become intensely debated topics. When financial burdens on universities increase, so does the pressure on dental schools. This is exacerbated by the relative expense of running dental schools and also by the limited understanding of both university managers and the public of the nature and scope of dentistry as a profession. In these circumstances, it is essential for dental schools to have good systems of leadership and management in place so that they can not only survive in difficult times, but flourish in the longer term. This paper discusses the concept of governance and how it relates to leadership, management and administration in dental schools and hospitals. Various approaches to governance and management in dental schools on different continents and regions are summarized and contrasted. A number of general governance and leadership issues are addressed. For example, a basic principle supported by the Working Group is that an effective governance structure must link authority and responsibility to performance and review, i.e. accountability, and that the mechanism for achieving this should be transparent. The paper also addresses issues specific to governing, leading and managing dental schools. Being a dean of a modern dental school is a very demanding role and some issues relating to this role are raised, including: dilemmas facing deans, preparing to be dean and succession planning. The importance of establishing a shared vision and mission, and creating the right culture and climate within a dental school, are emphasized. The Working Group advocates establishing a culture of scholarship in dental schools for both teaching and research. The paper addresses the need for effective staff management, motivation and development, and highlights the salience of good communication. The Working Group suggests establishing an advisory board to the dean and school, including lay persons and other external stakeholders, as one way of separating governance and management to some extent and providing some checks and balances within a dental school. Several other suggestions and recommendations are made about governance, management and leadership issues, including the need for schools to promote an awareness of their roles by good communication and thereby influence perceptions of others about their roles and values.",EUR J DENT EDUC,FEB,2008,10.1111/j.1600-0579.2007.00495.x,"Dentistry, Oral Surgery & Medicine; Education, Scientific Disciplines",269MO,WOS:000253653300017
Aircraft-Specific Thermoelectric Generator Module,JOURNAL OF ELECTRONIC MATERIALS,"Autonomous sensor nodes for wireless sensor networks are currently under discussion for aircraft structural health monitoring. Self-sufficient operation of a sensor node requires a positive power budget for sensing, processing, and communication tasks. Energy harvesting for autonomous powering by thermoelectric devices depends strongly on maintaining the temperature difference within the aircraft operation envelope. Aircraft pass through huge outside temperature variations and, in addition, provide heated cabin environments. To make use of these temperature differences most efficiently, additional effort for heat conduction and installation is required to maintain the temperature gradient. However, to keep the complexity of system implementation as low as possible we report in this paper on an aircraft-specific thermoelectric generator module which consists of a phase-change material attached to the thermoelectric generator at one side. If this module is exposed to the environmental conditions of an aircraft envelope, the phase transition and heat capacity of the attached material lead to unbalanced temperature levels on the two sides of the generator. Simulations with realistic aircraft parameters have been done and first tests of the breadboard in a climate chamber have shown promising results.",J ELECTRON MATER,SEP,2010,10.1007/s11664-009-0997-7,"Engineering, Electrical & Electronic; Materials Science, Multidisciplinary; Physics, Applied",644PW,WOS:000281393000132
"Environmental effects of Information and Communication Technology - Exploring the roles of renewable energy, innovation, trade and financial development",RENEWABLE & SUSTAINABLE ENERGY REVIEWS,"The increasing energy demand of the Information and Communication Technology (ICT) devices, has drawn the attention of researchers and policymakers. Given that ICT devices are used in almost all sectors of the economy, any effort towards climate-change mitigation should consider the carbon-footprint of the ICT sector. In this study, we analyze the direct effects of ICT on environment as well as the indirect effects through interaction with renewable energy, innovation, trade, and financial development using Driscoll-Kraay Panel Corrected Estimators for 16 emerging countries from 2000 to 2018. We also examine the presence of Environmental Kuznets' Curve (EKC) hypothesis for the entire sample. We find that increasing internet-use, renewable-energy consumption and trade significantly reduces CO2 emission, while increase in non-renewable energy consumption significantly increases emission. Interaction between innovation and internet-use jointly reduces CO2 emission. Similarly, renewable-energy, innovation, trade and financial-development reduce the CO2 emission from increased mobile use. EKC hypothesis is found to be present for both internet and mobile-use. For internet-use, the emerging economies have already reached the turning point of EKC whereby increasing internet-penetration reduces CO2 emission. However, mobile-use has not yet reached its turning point of the EKC curve. Robustness check using Bootstrapped Panel-Quantile Regression also confirms that internet-use and renewable-energy consumption reduces CO2 emission, whereas innovation and non-renewable energy consumption increases emission across all quantiles. The results suggest that the emerging economies can safely increase internet-use and related applications to reduce emission. They should also increase the use of renewables and green-innovation technologies in telecommunication-sector to reduce their adverse effects on the environment.",RENEW SUST ENERG REV,JAN,2022,10.1016/j.rser.2021.111754,Green & Sustainable Science & Technology; Energy & Fuels,YI0YJ,WOS:000743582700004
Global Narratives of Ecological Modernization: The Construction of Climate Change op-eds in China Daily and the New York Times,JOURNAL OF COMMUNICATION INQUIRY,"This study assesses the journalistic sources contributing to international climate change op-eds in tandem with narratives arising from this prominent platform for media elites and institutions. Through a theoretical lens of ecological modernization, this paper conducted a mixed methodological analysis featuring descriptive quantitative analysis and a subsequent narrative analysis. The authors first analyzed a dataset of 305 op-eds published by the New York Times and China Daily between January 2016 and October 2019. The authors also assessed the narratively-constructed themes embedded within selected op-eds leading up to the United States' departure from the Paris Agreement. These narratives, which featured appeals to a global ecological modernization, are (1) Humankind's shared economic destiny; (2) The new globalization and diplomacy; (3) The looming climate catastrophe. While the New York Times and China Daily featured different op-ed contributors and climate topics, both publications helped to construct larger unifying narratives about the role of climate change in global politics, economy, and society.",J COMMUN INQ,2023 JAN 22,2023,10.1177/01968599231151969,Communication,8F7QG,WOS:000919852800001
